0	911
0	919
0	910
644	764
0	909
0	916
0	914
367	487
371	491
0	918
195	315
0	917
653	773
0	914
174	294
0	908
0	909
0	904
0	909
0	914
0	905
0	915
201	321
0	914
784	904
0	891
0	892
0	894
0	897
0	898
0	899
0	898
0	898
0	902
0	905
0	906
0	909
278	398
0	913
0	909
0	919
0	916
0	911
217	337
0	912
0	912
0	911
0	904
0	911
0	914
0	916
0	925
375	495
0	931
599	719
0	931
0	923
782	902
0	907
0	923
0	934
167	287
0	910
0	929
0	938
0	936
268	388
0	940
157	277
0	930
0	924
0	922
0	910
645	765
0	892
268	388
764	884
0	917
352	472
0	942
0	937
0	935
0	930
395	515
0	914
0	917
359	479
0	932
0	897
0	945
0	937
14	134
0	928
0	932
0	929
0	934
0	901
0	935
308	428
810	930
